timestamp,angle_deg,distance_mm,quality
1766912540.2519104,244.796875,1111.25,13
1766912540.2521703,246.015625,1100.75,13
1766912540.2525697,247.1875,1095.75,13
1766912540.2530656,248.421875,1091.5,15
1766912540.2533314,249.59375,1084.5,15
1766912540.2535298,250.78125,1081.75,15
1766912540.2537117,251.984375,1079.5,13
1766912540.2600589,262.34375,658.5,9
1766912540.2612016,263.53125,665.5,12
1766912540.261519,264.703125,671.0,15
1766912540.261749,265.796875,677.5,15
1766912540.262093,266.984375,684.5,15
1766912540.2632332,270.5625,695.75,15
1766912540.2634299,271.8125,700.0,15
1766912540.2659767,277.546875,721.0,15
1766912540.2661843,278.765625,720.5,15
1766912540.266356,279.890625,720.5,15
1766912540.266515,281.078125,722.25,15
1766912540.266677,282.3125,723.0,15
1766912540.2719476,289.171875,2268.75,15
1766912540.2734265,291.5625,2289.25,15
1766912540.273654,292.71875,2308.75,15
1766912540.2739544,294.765625,5226.0,15
1766912540.2741838,295.953125,5234.0,15
1766912540.275934,302.859375,1209.0,15
1766912540.2807124,311.015625,442.25,15
1766912540.2815382,312.328125,438.5,15
1766912540.281762,313.328125,438.5,15
1766912540.283621,314.5625,439.25,15
1766912540.2857513,315.546875,439.75,15
1766912540.2860436,316.96875,441.25,15
1766912540.2862399,317.875,443.75,15
1766912540.2864192,319.109375,448.0,15
1766912540.2865837,320.40625,451.75,15
1766912540.2867515,321.40625,455.0,15
1766912540.2869177,322.546875,459.25,15
1766912540.2870746,323.734375,468.25,15
1766912540.2872865,324.953125,478.5,15
1766912540.2874613,325.875,488.25,15
1766912540.287861,328.8125,657.0,15
1766912540.2880168,329.921875,645.25,15
1766912540.2894027,331.1875,639.75,15
1766912540.2896056,332.421875,636.25,15
1766912540.2959342,338.734375,4684.75,15
1766912540.2963612,339.90625,4775.5,15
1766912540.2965808,341.09375,4823.5,15
1766912540.298173,350.828125,516.5,12
1766912540.2983549,351.765625,525.0,14
1766912540.2985094,352.9375,534.5,15
1766912540.2986593,354.203125,544.25,15
1766912540.298811,355.359375,549.75,15
1766912540.2994132,0.34375,517.25,10
1766912540.3083544,14.28125,4257.5,15
1766912540.3094153,19.0,4223.75,15
1766912540.310444,20.203125,4231.0,15
1766912540.3107214,21.375,4246.75,15
1766912540.3109026,22.5625,4257.5,15
1766912540.312186,23.75,4263.5,15
1766912540.312533,24.921875,4236.25,15
1766912540.3129241,26.125,4211.0,15
1766912540.3174405,27.296875,4238.5,15
1766912540.3180246,30.84375,4240.5,15
1766912540.3181894,32.046875,4219.75,15
1766912540.318467,34.453125,4226.5,15
1766912540.3186378,35.65625,4268.0,15
1766912540.3187935,36.828125,4275.0,15
1766912540.3190033,38.03125,4292.0,15
1766912540.3220623,39.203125,4321.5,15
1766912540.3224938,40.375,4349.0,15
1766912540.322703,41.5625,4374.0,15
1766912540.3229039,42.765625,4399.0,15
1766912540.3231056,43.9375,4422.75,15
1766912540.3233688,45.109375,4451.0,15
1766912540.3235862,46.296875,4463.5,15
1766912540.3263915,54.703125,3538.75,15
1766912540.32767,59.515625,3089.5,15
1766912540.3279383,60.71875,3014.75,15
1766912540.328237,63.09375,2846.25,15
1766912540.3289618,65.484375,2700.0,15
1766912540.3291168,66.703125,2645.0,15
1766912540.3300228,67.90625,2582.5,15
1766912540.330324,69.109375,2526.0,15
1766912540.3305068,70.296875,2466.5,15
1766912540.333409,71.484375,2414.75,15
1766912540.333622,72.6875,2405.5,15
1766912540.3337831,73.859375,2451.0,15
1766912540.3339732,75.03125,2470.75,15
1766912540.3341305,76.21875,2475.0,15
1766912540.3367786,77.40625,2476.5,15
1766912540.3393474,78.59375,2439.75,15
1766912540.3404524,79.8125,2408.25,15
1766912540.3408196,81.015625,2371.25,15
1766912540.3410237,82.203125,2335.0,15
1766912540.3411894,83.28125,2305.0,15
1766912540.341661,84.5,2273.0,15
1766912540.34188,85.6875,2241.25,15
1766912540.3420932,86.890625,2213.5,15
1766912540.3424542,88.078125,2192.0,15
1766912540.3457325,90.5625,1916.75,15
1766912540.3473246,91.75,1894.75,15
1766912540.3481605,92.90625,1887.0,15
1766912540.3483555,94.078125,1876.25,15
1766912540.3488374,95.3125,1859.75,15
1766912540.3493073,96.4375,1850.25,15
1766912540.3497984,97.65625,1841.0,15
1766912540.350104,98.828125,1827.0,15
1766912540.3503008,100.046875,1816.25,15
1766912540.3504617,101.21875,1807.25,15
1766912540.3513396,104.71875,1863.75,15
1766912540.3516226,105.921875,1857.0,15
1766912540.3517902,107.109375,1849.25,15
1766912540.3519456,108.28125,1845.0,15
1766912540.3520985,109.484375,1840.0,15
1766912540.3522506,110.65625,1830.0,15
1766912540.3524013,111.828125,1825.75,15
1766912540.3526466,113.0,1826.0,15
1766912540.3528214,114.15625,1827.0,15
1766912540.3529735,115.359375,1830.0,15
1766912540.3531227,116.546875,1827.25,15
1766912540.353275,117.6875,1828.75,15
1766912540.3534255,118.921875,1830.0,15
1766912540.3535755,120.09375,1828.25,15
1766912540.353725,121.25,1835.5,15
1766912540.3538725,122.421875,1844.25,15
1766912540.3600504,123.640625,1849.5,15
1766912540.37041,157.484375,3183.25,8
1766912540.4017913,226.78125,1064.0,15
1766912540.4020138,228.0,1069.5,15
1766912540.4021885,229.109375,1072.25,15
1766912540.4027865,230.265625,1077.25,15
1766912540.4044757,231.484375,1077.0,10
1766912540.4055154,239.765625,1088.75,15
1766912540.4058473,242.03125,1108.0,15
1766912540.4061506,244.4375,1110.25,14
1766912540.407662,245.609375,1104.5,13
1766912540.409048,247.9375,1095.75,15
1766912540.409251,249.171875,1086.75,15
1766912540.4094093,250.328125,1081.5,15
1766912540.4095678,251.4375,1080.0,15
1766912540.4141266,262.90625,663.75,15
1766912540.4144256,264.078125,670.25,15
1766912540.4168901,265.234375,674.25,15
1766912540.4173038,266.453125,680.0,15
1766912540.4175088,267.546875,687.25,15
1766912540.4186819,269.984375,694.75,15
1766912540.4189124,271.0,698.75,15
1766912540.4197967,276.9375,707.75,15
1766912540.4199808,278.0625,718.5,15
1766912540.4234388,279.234375,720.75,15
1766912540.4236598,280.375,723.0,15
1766912540.4238617,281.578125,724.25,15
1766912540.4240186,282.6875,723.75,9
1766912540.4277172,289.53125,2278.5,15
1766912540.42796,290.71875,2291.75,15
1766912540.4281197,291.890625,2306.0,15
1766912540.428278,293.03125,2304.75,8
1766912540.4285748,295.078125,5223.5,15
1766912540.429712,296.234375,5223.5,15
1766912540.4313138,301.890625,1212.0,15
1766912540.4315019,303.078125,1213.75,15
1766912540.4360538,311.171875,440.25,15
1766912540.4363225,312.140625,438.25,15
1766912540.4364877,313.46875,437.75,15
1766912540.436648,314.5,438.5,15
1766912540.4368148,315.90625,439.0,15
1766912540.4420567,317.078125,440.5,15
1766912540.4424634,317.9375,443.5,15
1766912540.4426851,319.25,447.5,15
1766912540.4428616,320.515625,451.5,15
1766912540.443031,321.65625,454.75,15
1766912540.4457264,322.59375,459.25,15
1766912540.4463644,323.75,468.25,15
1766912540.446579,324.78125,478.5,15
1766912540.446749,325.921875,488.25,15
1766912540.4472804,328.828125,656.75,15
1766912540.4475293,330.0,645.25,15
1766912540.4477553,331.265625,640.0,15
1766912540.447956,332.28125,636.5,15
1766912540.4489913,338.625,4717.25,15
1766912540.4493408,340.96875,4782.75,15
1766912540.4533753,351.640625,525.5,9
1766912540.4535666,352.703125,534.5,15
1766912540.453735,354.015625,543.25,15
1766912540.4538944,354.9375,550.75,15
1766912540.454595,357.421875,548.5,15
1766912540.4547746,358.5625,535.75,15
1766912540.468132,19.859375,4193.5,15
1766912540.468411,21.015625,4213.75,15
1766912540.469167,22.1875,4219.5,15
1766912540.469408,23.390625,4199.25,15
1766912540.4695902,24.546875,4205.25,15
1766912540.4697561,25.734375,4241.75,15
1766912540.4699287,26.90625,4231.0,15
1766912540.4704814,30.453125,4225.5,15
1766912540.4749646,31.640625,4254.0,15
1766912540.4757533,33.96875,4281.75,15
1766912540.4760334,35.203125,4267.75,15
1766912540.4762452,36.375,4255.25,15
1766912540.47643,37.5625,4284.75,15
1766912540.4766061,38.734375,4317.5,15
1766912540.476798,39.921875,4349.0,15
1766912540.4769742,41.09375,4374.5,15
1766912540.4771907,42.265625,4402.25,15
1766912540.4814491,43.453125,4421.0,15
1766912540.4821541,44.625,4440.5,15
1766912540.4838095,45.796875,4462.25,15
1766912540.48433,46.96875,4529.25,13
1766912540.4874558,50.5625,4068.75,15
1766912540.4908812,52.9375,3738.0,15
1766912540.491652,54.15625,3629.25,11
1766912540.4928477,57.71875,3248.25,15
1766912540.493662,61.3125,2961.0,15
1766912540.4941285,63.71875,2809.5,15
1766912540.494374,64.890625,2751.5,15
1766912540.494731,67.265625,2615.5,15
1766912540.4954774,69.6875,2488.25,15
1766912540.496414,70.859375,2443.75,15
1766912540.496763,72.046875,2420.75,15
1766912540.4969518,73.203125,2432.5,15
1766912540.497634,74.390625,2475.25,15
1766912540.4979672,75.59375,2503.75,15
1766912540.4981632,76.734375,2493.5,15
1766912540.4984238,77.953125,2456.0,15
1766912540.498707,79.109375,2420.75,15
1766912540.498954,80.34375,2389.75,15
1766912540.4993346,81.515625,2356.25,15
1766912540.4995465,82.65625,2325.5,15
1766912540.4998353,83.828125,2294.25,15
1766912540.5000064,85.0,2260.0,15
1766912540.5001707,86.203125,2231.25,15
1766912540.500332,87.390625,2205.5,15
1766912540.5004926,88.578125,2180.25,15
1766912540.5007832,90.984375,1911.5,15
1766912540.5009496,92.203125,1890.25,15
1766912540.501126,93.34375,1882.5,15
1766912540.501301,94.546875,1874.25,15
1766912540.5014753,95.71875,1858.25,15
1766912540.5016463,96.953125,1844.5,15
1766912540.5018158,98.09375,1830.25,15
1766912540.5019772,99.296875,1819.0,15
1766912540.5021348,100.484375,1810.0,15
1766912540.5022848,101.640625,1816.0,15
1766912540.5024374,102.8125,1848.5,15
1766912540.5025935,104.0,1863.75,15
1766912540.5027544,105.171875,1856.75,15
1766912540.5029294,106.3125,1852.5,15
1766912540.503101,107.484375,1849.25,15
1766912540.504721,108.65625,1840.0,15
1766912540.5052748,109.875,1830.25,15
1766912540.5058873,111.03125,1829.5,15
1766912540.5064392,112.21875,1826.5,15
1766912540.5069346,113.390625,1824.5,15
1766912540.5074499,114.546875,1829.25,15
1766912540.5078428,115.734375,1829.75,15
1766912540.5083013,116.90625,1826.75,15
1766912540.5087094,118.09375,1831.5,15
1766912540.5089695,119.25,1835.25,15
1766912540.5092251,120.40625,1837.0,15
1766912540.509939,121.625,1841.5,15
1766912540.5109167,122.765625,1848.0,15
1766912540.5111203,123.9375,1853.25,15
1766912540.5723765,224.140625,1745.25,15
1766912540.5729892,227.078125,1069.25,15
1766912540.5733979,228.28125,1067.75,15
