timestamp,angle_deg,distance_mm,quality
1766155622.1794171,291.90625,2636.5,15
1766155622.1798723,294.515625,2112.75,15
1766155622.1800811,295.734375,2079.5,15
1766155622.180282,296.9375,2053.0,15
1766155622.1804574,298.203125,2024.0,15
1766155622.1845458,299.453125,1999.75,15
1766155622.1849735,300.671875,1980.0,15
1766155622.1851752,301.921875,1961.0,15
1766155622.1854002,303.140625,1940.75,15
1766155622.185642,304.40625,1923.5,15
1766155622.1858327,305.625,1904.25,15
1766155622.1860116,306.84375,1882.5,15
1766155622.1861873,308.046875,1868.0,15
1766155622.1863587,309.28125,1859.75,15
1766155622.1885972,310.515625,1847.5,15
1766155622.1890604,311.78125,1832.25,15
1766155622.1892438,313.0,1817.25,15
1766155622.1894326,314.203125,1802.5,15
1766155622.1895995,315.4375,1792.0,15
1766155622.1897562,316.65625,1786.0,15
1766155622.1899118,317.875,1782.75,15
1766155622.1900713,319.140625,1777.0,15
1766155622.190229,320.328125,1765.75,15
1766155622.1916823,321.578125,1754.5,15
1766155622.191872,322.890625,1748.0,15
1766155622.1920424,324.109375,1744.0,15
1766155622.1922092,325.296875,1743.25,15
1766155622.1924946,326.5625,1743.25,15
1766155622.1951401,331.109375,3022.0,15
1766155622.1955757,332.328125,3008.5,15
1766155622.1957624,333.53125,3000.75,15
1766155622.1989925,339.859375,2251.5,15
1766155622.1993759,342.234375,2511.75,15
1766155622.2024364,349.421875,3126.75,15
1766155622.2026024,350.640625,3157.25,15
1766155622.2027597,351.84375,3185.5,15
1766155622.2051237,354.953125,1370.0,15
1766155622.2053444,356.09375,1365.25,15
1766155622.2096598,5.25,3551.75,15
1766155622.2116437,6.484375,3610.5,15
1766155622.2120008,7.6875,3672.0,15
1766155622.2162027,14.984375,3790.0,14
1766155622.216504,16.203125,3759.75,15
1766155622.216923,19.84375,4059.75,15
1766155622.2170794,21.046875,4122.25,15
1766155622.2173586,23.65625,2992.75,15
1766155622.2229586,24.890625,2925.75,15
1766155622.2231967,26.09375,2879.75,15
1766155622.2239609,27.3125,2848.5,15
1766155622.2248156,29.8125,2726.75,15
1766155622.2250657,31.0,2731.0,15
1766155622.2256513,32.234375,2730.25,15
1766155622.2258868,33.453125,2718.0,15
1766155622.2260506,34.78125,2692.75,15
1766155622.2263777,36.0,2648.25,15
1766155622.2265584,37.21875,2618.25,15
1766155622.2267263,38.484375,2600.0,15
1766155622.226887,39.6875,2572.25,15
1766155622.2271123,40.921875,2545.5,15
1766155622.2282453,44.796875,1939.0,15
1766155622.2288146,48.421875,1956.25,15
1766155622.2290244,49.703125,1925.0,15
1766155622.2300677,50.90625,1901.25,15
1766155622.2304118,52.125,1898.5,15
1766155622.2325358,56.875,2348.25,15
1766155622.232748,58.09375,2335.5,15
1766155622.2330987,59.359375,2338.5,15
1766155622.2332792,60.609375,2335.75,15
1766155622.2334359,61.84375,2332.0,15
1766155622.2335947,63.078125,2334.25,15
1766155622.235514,67.984375,2344.25,15
1766155622.2358265,70.421875,2268.0,15
1766155622.2378838,72.953125,2035.0,15
1766155622.2407973,81.578125,1943.5,15
1766155622.2414956,82.828125,1931.0,15
1766155622.241721,83.96875,1884.75,15
1766155622.2426019,88.5,932.75,15
1766155622.2435374,89.703125,915.5,15
1766155622.2437205,90.96875,899.75,15
1766155622.2469676,92.21875,889.5,15
1766155622.2503498,93.375,885.0,15
1766155622.250897,94.65625,883.75,15
1766155622.2510858,95.828125,886.25,15
1766155622.2513137,97.015625,891.75,15
1766155622.2514813,98.21875,898.25,15
1766155622.2516408,99.390625,906.5,15
1766155622.251796,100.671875,922.25,15
1766155622.2523167,105.328125,1081.5,15
1766155622.252469,106.546875,1054.75,9
1766155622.2527475,109.015625,1058.0,15
1766155622.2556217,110.140625,1085.75,15
1766155622.2575643,111.3125,1109.5,15
1766155622.2583184,112.59375,1133.75,15
1766155622.259528,113.734375,1161.0,15
1766155622.2600036,114.921875,1193.25,9
1766155622.2602627,116.09375,1218.0,15
1766155622.2605925,117.359375,1218.0,15
1766155622.2618635,118.625,1198.25,15
1766155622.2623646,119.796875,1180.25,15
1766155622.2626035,121.078125,1168.75,15
1766155622.2627795,122.328125,1153.5,15
1766155622.2629466,123.546875,1141.25,15
1766155622.2634413,124.796875,1129.25,15
1766155622.2636623,126.046875,1116.0,15
1766155622.2638364,127.265625,1107.25,15
1766155622.2640095,128.5,1096.75,15
1766155622.2641685,129.75,1085.75,15
1766155622.2643676,130.984375,1077.75,15
1766155622.2649844,133.6875,848.5,15
1766155622.2652001,134.921875,842.75,15
1766155622.2655537,136.1875,841.0,15
1766155622.265792,137.375,840.0,15
1766155622.2659814,138.578125,835.25,15
1766155622.2665823,141.203125,758.5,15
1766155622.2667704,142.46875,756.25,15
1766155622.266926,143.71875,751.75,15
1766155622.2670805,144.875,751.0,15
1766155622.2710094,154.265625,971.5,15
1766155622.2713912,155.5,987.25,15
1766155622.2715673,156.65625,993.0,15
1766155622.2719948,157.875,986.75,15
1766155622.2762215,162.9375,871.0,15
1766155622.2764182,164.234375,860.0,15
1766155622.2809572,176.015625,1101.75,15
1766155622.2811923,177.328125,1108.5,15
1766155622.2813668,178.453125,1117.75,15
1766155622.2979836,213.234375,2018.25,15
1766155622.311948,247.5,1883.25,15
1766155622.3121953,248.71875,1867.25,15
1766155622.3124485,249.984375,1863.5,15
1766155622.3126342,251.109375,1864.75,15
1766155622.312952,252.375,1852.5,15
1766155622.313113,253.53125,1854.25,15
1766155622.313268,254.765625,1900.25,15
1766155622.3134234,256.0,1925.25,15
1766155622.3138711,257.171875,1918.75,15
1766155622.3140464,258.421875,1932.25,15
1766155622.3143682,259.625,1942.25,15
1766155622.31562,260.84375,1946.25,15
1766155622.317478,264.5,1975.5,15
1766155622.3177843,265.703125,2004.5,15
1766155622.3197002,266.921875,1998.0,15
1766155622.3209257,268.140625,1984.5,15
1766155622.3237863,270.5625,2091.75,15
1766155622.3244333,271.765625,2118.75,15
1766155622.3246543,272.96875,2140.75,15
1766155622.3248093,274.15625,2166.0,15
1766155622.3258631,281.3125,2392.25,15
